iter	Passed	Remaining
193	4505	18718
194	4529	18697
195	4553	18679
196	4582	18677
197	4604	18649
198	4627	18625
199	4655	18623
200	4680	18605
201	4705	18587
202	4728	18563
203	4751	18539
204	4774	18516
205	4800	18503
206	4828	18496
207	4852	18477
208	4877	18459
209	4905	18455
210	4928	18429
211	4949	18398
212	4973	18376
213	5002	18373
214	5027	18354
215	5050	18330
216	5071	18299
217	5096	18281
218	5120	18260
219	5145	18242
220	5176	18245
221	5202	18231
222	5228	18218
223	5255	18206
224	5280	18189
225	5303	18162
226	5329	18148
227	5351	18120
228	5377	18104
229	5404	18091
230	5436	18098
231	5462	18082
232	5494	18087
233	5519	18067
234	5546	18054
235	5569	18031
236	5595	18012
237	5617	17985
238	5641	17961
239	5667	17946
240	5691	17923
241	5714	17899
242	5742	17890
243	5766	17865
244	5792	17850
245	5817	17831
246	5841	17808
247	5864	17782
248	5890	17767
249	5913	17741
250	5934	17710
251	5963	17701
252	5987	17678
253	6014	17663
254	6036	17636
255	6063	17622
256	6092	17613
257	6118	17595
258	6146	17584
259	6182	17596
260	6209	17581
261	6231	17552
262	6254	17527
263	6280	17510
264	6307	17493
265	6329	17465
266	6354	17446
267	6381	17429
268	6410	17419
269	6432	17391
270	6458	17374
271	6484	17355
272	6513	17345
273	6535	17317
274	6560	17296
275	6586	17277
276	6613	17261
277	6637	17237
278	6661	17213
279	6686	17193
280	6712	17174
281	6736	17150
282	6760	17129
283	6786	17109
284	6810	17086
285	6835	17065
286	6859	17042
287	6886	17025
288	6910	17000
289	6930	16968
290	6954	16944
291	6977	16918
292	7005	16903
293	7027	16876
294	7051	16851
295	7075	16828
296	7101	16808
297	7123	16781
298	7145	16752
299	7175	16743
300	7203	16729
301	7227	16704
302	7251	16681
303	7274	16655
304	7299	16633
305	7326	16616
306	7351	16594
307	7373	16566
308	7400	16549
309	7424	16525
310	7449	16503
311	7474	16482
312	7499	16460
313	7530	16452
314	7554	16428
315	7577	16401
316	7599	16374
317	7622	16348
318	7649	16330
319	7671	16301
320	7696	16279
321	7723	16262
322	7749	16242
323	7773	16218
324	7800	16201
325	7822	16173
326	7848	16152
327	7870	16124
328	7899	16110
329	7923	16086
330	7951	16070
331	7976	16049
332	8002	16028
333	8029	16011
334	8053	15987
335	8083	15974
336	8105	15946
337	8132	15928
338	8167	15925
339	8190	15899
340	8219	15885
341	8245	15864
342	8272	15845
343	8299	15826
344	8323	15803
345	8349	15781
346	8373	15758
347	8399	15736
348	8421	15709
349	8444	15682
350	8467	15656
351	8494	15637
352	8516	15610
353	8547	15597
354	8571	15574
355	8599	15556
356	8621	15527
357	8644	15503
358	8669	15479
359	8692	15453
360	8717	15430
361	8744	15411
362	8767	15385
363	8791	15361
364	8815	15336
365	8836	15306
366	8858	15279
367	8881	15253
368	8906	15230
369	8930	15205
370	8954	15181
371	8977	15155
372	9003	15134
373	9026	15108
374	9049	15082
375	9073	15058
376	9098	15036
377	9125	15015
378	9158	15006
379	9181	14979
380	9205	14956
381	9229	14930
382	9258	14914
383	9281	14889
384	9311	14874
385	9336	14852
386	9361	14827
387	9384	14801
388	9407	14776
389	9433	14755
390	9457	14730
391	9479	14702
392	9504	14679
393	9530	14657
394	9561	14644
395	9586	14622
396	9607	14593
397	9633	14571
398	9656	14545
399	9681	14522
400	9706	14498
401	9732	14478
402	9757	14454
403	9782	14431
404	9805	14406
405	9830	14382
406	9856	14360
407	9880	14337
408	9904	14312
409	9927	14286
410	9955	14266
411	9979	14242
412	10004	14219
413	10028	14194
414	10054	14173
415	10079	14150
416	10103	14124
417	10133	14109
418	10162	14091
419	10185	14065
420	10208	14039
421	10231	14013
422	10259	13993
423	10283	13970
424	10307	13945
425	10332	13922
426	10358	13900
427	10385	13880
428	10414	13861
429	10440	13839
430	10466	13817
431	10497	13802
432	10523	13780
433	10550	13759
434	10574	13734
435	10601	13713
436	10628	13692
437	10650	13665
438	10673	13640
439	10701	13619
440	10727	13598
441	10751	13573
442	10781	13555
443	10804	13529
444	10827	13504
445	10851	13478
446	10876	13455
447	10899	13429
448	10923	13405
449	10947	13380
450	10971	13356
451	10993	13328
452	11015	13301
453	11037	13274
454	11062	13250
455	11086	13226
456	11120	13212
457	11147	13192
458	11172	13168
459	11196	13143
460	11218	13117
461	11242	13091
462	11267	13068
463	11290	13042
464	11316	13019
465	11340	12995
466	11367	12974
467	11392	12950
468	11418	12927
469	11442	12903
470	11467	12879
471	11492	12855
472	11517	12832
473	11540	12807
474	11565	12783
475	11595	12765
476	11622	12743
477	11647	12719
478	11673	12697
479	11697	12672
480	11724	12650
481	11750	12628
482	11777	12606
483	11802	12582
484	11827	12559
485	11851	12533
486	11874	12508
487	11898	12483
488	11922	12459
489	11945	12433
490	11968	12407
491	11991	12381
492	12016	12357
493	12043	12336
494	12067	12311
495	12091	12286
496	12117	12263
497	12145	12243
498	12169	12218
499	12191	12191
500	12217	12168
501	12241	12143
502	12266	12120
503	12290	12095
504	12315	12071
505	12341	12048
506	12369	12028
507	12392	12002
508	12416	11977
509	12439	11951
510	12465	11929
511	12486	11901
512	12509	11875
513	12538	11855
514	12565	11833
515	12596	11815
516	12618	11788
517	12641	11763
518	12670	11742
519	12693	11716
520	12715	11690
521	12738	11664
522	12767	11644
523	12793	11621
524	12815	11595
525	12839	11569
526	12864	11546
527	12888	11521
528	12912	11497
529	12934	11469
530	12958	11445
531	12982	11420
532	13011	11400
533	13036	11376
534	13060	11351
535	13085	11327
536	13115	11308
537	13141	11285
538	13164	11259
539	13187	11233
540	13210	11208
541	13233	11182
542	13256	11156
543	13279	11131
544	13363	11156
545	13411	11151
546	13448	11137
547	13466	11107
548	13486	11078
549	13509	11053
550	13532	11027
551	13557	11002
552	13580	10976
553	13607	10954
554	13635	10932
555	13661	10909
556	13685	10884
557	13709	10859
558	13735	10835
559	13758	10810
560	13780	10783
561	13805	10759
562	13829	10734
563	13852	10708
564	13878	10684
565	13904	10661
566	13927	10635
567	13953	10612
568	13977	10587
569	14001	10562
570	14027	10539
571	14050	10513
572	14073	10487
573	14099	10463
574	14129	10443
575	14157	10421
576	14182	10397
577	14207	10372
578	14231	10347
579	14256	10323
580	14280	10298
581	14305	10274
582	14329	10249
583	14356	10226
584	14379	10201
585	14404	10176
586	14428	10151
587	14456	10129
588	14481	10104
589	14505	10079
590	14529	10055
591	14553	10030
592	14577	10005
593	14603	9981
594	14631	9959
595	14655	9934
596	14682	9911
597	14705	9885
598	14728	9860
599	14754	9836
600	14780	9812
601	14804	9787
602	14832	9765
603	14855	9739
604	14878	9714
605	14906	9691
606	14929	9665
607	14956	9643
608	14982	9619
609	15007	9594
610	15030	9569
611	15053	9543
612	15076	9518
613	15106	9497
614	15133	9473
615	15157	9448
616	15182	9424
617	15207	9399
618	15232	9375
619	15254	9349
620	15277	9324
621	15303	9300
622	15326	9274
623	15350	9249
624	15372	9223
625	15396	9198
626	15420	9173
627	15445	9149
628	15470	9124
629	15493	9099
630	15518	9074
631	15542	9050
632	15566	9025
633	15591	9000
634	15614	8975
635	15646	8954
636	15668	8928
637	15691	8903
638	15714	8877
639	15736	8852
640	15761	8827
641	15784	8801
642	15805	8775
643	15827	8749
644	15853	8725
645	15879	8701
646	15909	8680
647	15934	8655
648	15957	8630
649	15982	8606
650	16005	8580
651	16031	8556
652	16057	8532
653	16084	8509
654	16114	8487
655	16140	8464
656	16164	8439
657	16188	8414
658	16211	8388
659	16236	8364
660	16258	8338
661	16282	8313
662	16307	8289
663	16330	8263
664	16354	8238
665	16382	8215
666	16404	8190
667	16427	8164
668	16450	8139
669	16477	8115
670	16500	8090
671	16525	8065
672	16547	8040
673	16572	8015
674	16598	7991
675	16622	7966
676	16651	7944
677	16675	7919
678	16698	7894
679	16727	7871
680	16755	7848
681	16777	7823
682	16804	7799
683	16826	7773
684	16852	7749
685	16879	7726
686	16908	7703
687	16934	7679
688	16959	7654
689	16984	7630
690	17011	7607
691	17034	7581
692	17057	7556
693	17085	7533
694	17117	7512
695	17140	7486
696	17167	7462
697	17189	7437
698	17217	7414
699	17244	7390
700	17268	7365
701	17290	7339
702	17318	7316
703	17340	7291
704	17363	7265
705	17386	7240
706	17411	7215
707	17436	7191
708	17458	7165
709	17485	7142
710	17508	7116
711	17530	7091
712	17557	7067
713	17581	7042
714	17603	7016
715	17628	6992
716	17655	6968
717	17684	6945
718	17707	6920
719	17730	6895
720	17753	6870
721	17778	6845
722	17801	6820
723	17826	6795
724	17850	6770
725	17876	6746
726	17899	6721
727	17926	6697
728	17951	6673
729	17981	6650
730	18008	6626
731	18033	6602
732	18055	6576
733	18087	6554
734	18116	6531
735	18139	6506
736	18163	6481
737	18187	6456
738	18211	6431
739	18233	6406
740	18256	6381
741	18282	6357
742	18308	6332
743	18331	6307
744	18356	6283
745	18383	6259
746	18406	6233
747	18429	6208
748	18452	6183
749	18478	6159
750	18505	6135
751	18529	6110
752	18552	6085
753	18578	6061
754	18601	6036
755	18626	6011
756	18649	5986
757	18675	5962
758	18706	5939
759	18731	5915
760	18754	5890
761	18778	5865
762	18805	5841
763	18827	5815
764	18852	5791
765	18876	5766
766	18899	5741
767	18923	5716
768	18949	5692
769	18972	5667
770	18996	5642
771	19027	5619
772	19059	5597
773	19087	5573
774	19112	5548
775	19138	5524
776	19163	5499
777	19188	5475
778	19213	5450
779	19237	5425
780	19260	5400
781	19282	5375
782	19311	5351
783	19338	5328
784	19362	5303
785	19386	5278
786	19408	5252
787	19432	5228
788	19458	5203
789	19483	5179
790	19505	5153
791	19530	5129
792	19557	5105
793	19579	5079
794	19604	5055
795	19626	5029
796	19654	5005
797	19676	4980
798	19706	4957
799	19731	4932
800	19754	4907
801	19776	4882
802	19798	4857
803	19820	4831
804	19843	4806
805	19870	4782
806	19893	4757
807	19917	4732
808	19939	4707
809	19969	4684
810	19995	4659
811	20018	4634
812	20045	4610
813	20077	4587
814	20100	4562
815	20122	4537
816	20146	4512
817	20172	4488
818	20195	4463
819	20219	4438
820	20241	4413
821	20264	4388
822	20288	4363
823	20313	4338
824	20336	4313
825	20360	4288
826	20383	4264
827	20407	4239
828	20429	4214
829	20451	4188
830	20475	4164
831	20499	4139
832	20522	4114
833	20546	4089
834	20567	4064
835	20592	4039
836	20614	4014
837	20637	3989
838	20661	3964
839	20683	3939
840	20709	3915
841	20739	3891
842	20761	3866
843	20785	3841
844	20812	3817
845	20837	3793
846	20858	3767
847	20881	3742
848	20907	3718
849	20931	3693
850	20955	3669
851	20981	3644
852	21013	3621
853	21038	3596
854	21071	3573
855	21094	3548
856	21119	3523
857	21143	3499
858	21167	3474
859	21195	3450
860	21223	3426
861	21246	3401
862	21273	3377
863	21297	3352
864	21321	3327
865	21346	3303
866	21371	3278
867	21394	3253
868	21416	3228
869	21442	3204
870	21465	3179
871	21489	3154
872	21511	3129
873	21536	3104
874	21563	3080
875	21588	3055
876	21610	3030
877	21636	3006
878	21664	2982
879	21689	2957
880	21713	2932
881	21743	2909
882	21770	2884
883	21791	2859
884	21816	2834
885	21840	2810
886	21866	2785
887	21888	2760
888	21911	2735
889	21937	2711
890	21961	2686
891	21985	2661
892	22008	2637
893	22033	2612
894	22064	2588
895	22092	2564
896	22116	2539
897	22141	2514
898	22164	2490
899	22190	2465
900	22215	2440
901	22238	2416
902	22266	2391
903	22291	2367
904	22315	2342
905	22340	2317
906	22365	2293
907	22389	2268
908	22413	2243
909	22438	2219
910	22464	2194
911	22489	2170
912	22514	2145
913	22537	2120
914	22560	2095
915	22586	2071
916	22611	2046
917	22635	2021
918	22662	1997
919	22686	1972
920	22711	1948
921	22734	1923
922	22764	1899
923	22786	1874
924	22810	1849
925	22835	1824
926	22860	1800
927	22883	1775
928	22907	1750
929	22931	1726
930	22960	1701
931	22982	1676
932	23005	1652
933	23035	1627
934	23068	1603
935	23093	1579
936	23118	1554
937	23145	1529
938	23168	1505
939	23190	1480
940	23215	1455
941	23240	1430
942	23274	1406
943	23328	1383
944	23369	1360
945	23387	1335
946	23410	1310
947	23431	1285
948	23455	1260
949	23479	1235
950	23500	1210
951	23524	1186
952	23547	1161
953	23573	1136
954	23598	1111
955	23621	1087
956	23643	1062
957	23668	1037
958	23691	1012
959	23715	988
960	23738	963
961	23760	938
962	23789	914
963	23811	889
964	23837	864
965	23859	839
966	23882	815
967	23905	790
968	23931	765
969	23957	740
970	23982	716
971	24007	691
972	24031	666
973	24067	642
974	24095	617
975	24120	593
976	24146	568
977	24172	543
978	24195	519
979	24221	494
980	24244	469
981	24270	444
982	24293	420
983	24318	395
984	24341	370
985	24364	345
986	24388	321
987	24411	296
988	24439	271
989	24462	247
990	24485	222
991	24507	197
992	24530	172
993	24554	148
994	24576	123
995	24597	98
996	24617	74
997	24641	49
998	24668	24
999	24693	0
