iter	Logloss
118	0.3169517865
119	0.3168922736
120	0.3168307327
121	0.3167624286
122	0.3167037687
123	0.3166439911
124	0.3165997057
125	0.3165352585
126	0.3164654006
127	0.316411742
128	0.3163483338
129	0.3162896559
130	0.3162340124
131	0.3161803252
132	0.3161126883
133	0.3160256451
134	0.3159817399
135	0.3159248271
136	0.3158770222
137	0.3158203218
138	0.3157694911
139	0.3157220493
140	0.315658884
141	0.3156012043
142	0.3155330283
143	0.3154802625
144	0.3154222086
145	0.3153635535
146	0.3153122697
147	0.3152709671
148	0.3152150277
149	0.3151619931
150	0.3150943132
151	0.3150367755
152	0.3149824973
153	0.3149256984
154	0.31488221
155	0.3148212945
156	0.3147609184
157	0.3147148639
158	0.3146599011
159	0.3146032156
160	0.314560768
161	0.3145076054
162	0.3144585597
163	0.3143776546
164	0.3143076562
165	0.3142406562
166	0.3141911991
167	0.3141477514
168	0.3140838755
169	0.3140368198
170	0.313978455
171	0.3139261085
172	0.3138578392
173	0.3137921322
174	0.3137416597
175	0.3136874462
176	0.3136438276
177	0.3136026491
178	0.3135608524
179	0.313507407
180	0.3134719448
181	0.3134186509
182	0.313372054
183	0.3133185853
184	0.3132673783
185	0.3131935589
186	0.3131326844
187	0.3130877371
188	0.3130544305
189	0.3129874402
190	0.3129342798
191	0.3128690837
192	0.3128059403
193	0.312744262
194	0.3126993851
195	0.3126326659
196	0.3125679295
197	0.3125126438
198	0.3124493557
199	0.3123983866
200	0.3123482351
201	0.312292873
202	0.3122333632
203	0.3121672049
204	0.3121209907
205	0.312073502
206	0.3120060893
207	0.3119504502
208	0.3118962761
209	0.3118561105
210	0.3118150481
211	0.3117676268
212	0.3117200109
213	0.3116572742
214	0.3116016128
215	0.3115431142
216	0.3115031939
217	0.3114597822
218	0.3114051476
219	0.3113561311
220	0.3112998303
221	0.3112595304
222	0.3112082623
223	0.3111625615
224	0.3111074697
225	0.3110769689
226	0.3110339247
227	0.3109877889
228	0.3109395475
229	0.3108851028
230	0.3108299722
231	0.3107937006
232	0.3107409417
233	0.3106874892
234	0.3106322227
235	0.310588663
236	0.3105489988
237	0.3105171488
238	0.3104695056
239	0.3104239582
240	0.3103758138
241	0.3103284817
242	0.3102838107
243	0.3102333815
244	0.3101593442
245	0.3101202216
246	0.3100815949
247	0.3100418736
248	0.3099904723
249	0.3099516578
250	0.3099139635
251	0.3098556633
252	0.309812169
253	0.3097635982
254	0.3097261833
255	0.3096891239
256	0.3096490862
257	0.3095916614
258	0.3095570028
259	0.3095100487
260	0.3094623955
261	0.3094127336
262	0.3093574879
263	0.3093016472
264	0.3092532197
265	0.3091980312
266	0.3091408538
267	0.3090894397
268	0.3090467682
269	0.3089981632
270	0.3089490916
271	0.3089072662
272	0.3088710264
273	0.3088093829
274	0.3087566599
275	0.3086999398
276	0.3086660625
277	0.30860826
278	0.3085662471
279	0.3085366584
280	0.3084854237
281	0.3084411675
282	0.3083980929
283	0.3083376638
284	0.3082769203
285	0.3082288297
286	0.3081811153
287	0.3081531644
288	0.3080987774
289	0.3080569426
290	0.3080104428
291	0.3079736255
292	0.3079416379
293	0.3078956364
294	0.3078581439
295	0.307822933
296	0.3077916018
297	0.3077438925
298	0.3077094822
299	0.3076686809
300	0.3076165175
301	0.3075721964
302	0.3075459589
303	0.3074924123
304	0.3074486848
305	0.3074085089
306	0.3073625687
307	0.3073160571
308	0.3072803251
309	0.3072318842
310	0.3072007661
311	0.3071569022
312	0.3071115247
313	0.3070727343
314	0.3070289062
315	0.3069920915
316	0.3069450129
317	0.3069166563
318	0.3068761871
319	0.3068432602
320	0.3068036146
321	0.3067506451
322	0.3067114488
323	0.3066658476
324	0.3066186259
325	0.3065892685
326	0.3065643862
327	0.3065237414
328	0.3064848443
329	0.3064529955
330	0.306422228
331	0.3063851555
332	0.3063577515
333	0.3063213818
334	0.306278009
335	0.3062374089
336	0.3062030514
337	0.3061707456
338	0.3061372158
339	0.3061049846
340	0.306063018
341	0.3060170798
342	0.3059735418
343	0.3059261595
344	0.3058896237
345	0.3058501561
346	0.3058016837
347	0.3057609479
348	0.3057373474
349	0.305690418
350	0.3056581345
351	0.3056095807
352	0.3055765137
353	0.3055234971
354	0.3054654831
355	0.3054226646
356	0.3053828792
357	0.3053290346
358	0.3052937657
359	0.305262211
360	0.3052268581
361	0.3051950149
362	0.3051630214
363	0.3050997846
364	0.3050505305
365	0.3049844148
366	0.3049402922
367	0.3049080847
368	0.3048608617
369	0.3048137956
370	0.3047688333
371	0.3047302357
372	0.3046834465
373	0.3046354104
374	0.3046022444
375	0.3045757409
376	0.3045345777
377	0.3044783806
378	0.304437859
379	0.3043994613
380	0.3043673541
381	0.3043247125
382	0.3042854777
383	0.3042366736
384	0.304190413
385	0.3041355636
386	0.3040945484
387	0.3040541139
388	0.3040071007
389	0.3039687764
390	0.3039139901
391	0.303879874
392	0.3038075582
393	0.3037668653
394	0.3037405443
395	0.3036847961
396	0.3036452808
397	0.3036008483
398	0.3035709308
399	0.3035196686
400	0.3034829134
401	0.3034410263
402	0.3034072879
403	0.3033652796
404	0.3033185481
405	0.3032797427
406	0.3032395799
407	0.3031995625
408	0.3031647271
409	0.303128882
410	0.3030893492
411	0.3030528153
412	0.3030090558
413	0.3029618618
414	0.3029125952
415	0.3028648166
416	0.3028242895
417	0.3027841933
418	0.3027513868
419	0.3027160666
420	0.302676735
421	0.3026510306
422	0.302610696
423	0.3025696748
424	0.3025350531
425	0.302496279
426	0.3024611252
427	0.3024222247
428	0.3023764383
429	0.3023366551
430	0.3022929281
431	0.302233685
432	0.3021939462
433	0.3021528818
434	0.30211837
435	0.3020548901
436	0.302021957
437	0.3019880483
438	0.3019571763
439	0.3019014121
440	0.301860566
441	0.301799384
442	0.3017625402
443	0.3017037083
444	0.301674359
445	0.3016404635
446	0.3016027192
447	0.301572363
448	0.3015398408
449	0.30149813
450	0.3014542919
451	0.301421158
452	0.3013661295
453	0.3013434732
454	0.3012977058
455	0.3012504159
456	0.3012103414
457	0.3011781257
458	0.3011344632
459	0.3010951708
460	0.3010569201
461	0.3010321751
462	0.3009869148
463	0.3009553146
464	0.3009177423
465	0.3008744291
466	0.3008269407
467	0.3007796086
468	0.3007402677
469	0.3006946288
470	0.30063867
471	0.3006015028
472	0.3005573605
473	0.3005233284
474	0.3004792816
475	0.3004380962
476	0.3004027481
477	0.3003729216
478	0.3003342748
479	0.3002863118
480	0.3002605777
481	0.3002273571
482	0.3001836648
483	0.300138537
484	0.3001087662
485	0.300076202
486	0.3000318977
487	0.2999959997
488	0.2999636154
489	0.299928288
490	0.2998810008
491	0.2998417076
492	0.2998087592
493	0.2997687868
494	0.2997377029
495	0.2996920165
496	0.2996548071
497	0.2996265756
498	0.2995973956
499	0.2995570927
500	0.299526026
501	0.2994972237
502	0.2994514435
503	0.2994088315
504	0.2993651173
505	0.2993327314
506	0.299302258
507	0.2992727617
508	0.2992389811
509	0.2991952166
510	0.2991586435
511	0.2991218533
512	0.2990791729
513	0.2990238477
514	0.2989900697
515	0.2989504833
516	0.2989207283
517	0.2988915297
518	0.2988633823
519	0.298824667
520	0.2987893868
521	0.2987326955
522	0.2986925078
523	0.2986545301
524	0.2986193186
525	0.2985841047
526	0.2985257988
527	0.298481495
528	0.2984387011
529	0.298400887
530	0.2983688076
531	0.2983324626
532	0.2982865783
533	0.2982426812
534	0.2982130325
535	0.2981759816
536	0.2981482676
537	0.2981147572
538	0.2980702876
539	0.2980217065
540	0.2979872182
541	0.2979448777
542	0.2979078412
543	0.2978629894
544	0.297826164
545	0.2977834468
546	0.2977613091
547	0.2977287919
548	0.2976993037
549	0.2976634024
550	0.2976386468
551	0.2976079798
552	0.2975705805
553	0.2975165467
554	0.2974794565
555	0.2974306887
556	0.2973823212
557	0.2973454949
558	0.2973129288
559	0.2972672644
560	0.2972308702
561	0.2971952592
562	0.2971613872
563	0.2971226451
564	0.2970937753
565	0.2970677882
566	0.2970359458
567	0.2970020855
568	0.2969727966
569	0.2969446348
570	0.2969166973
571	0.2968886001
572	0.2968603033
573	0.2968216451
574	0.2967811627
575	0.2967404341
576	0.2966938012
577	0.2966628037
578	0.2966277625
579	0.2966010444
580	0.2965590323
581	0.2965347052
582	0.2964903628
583	0.2964558243
584	0.296412339
585	0.2963826617
586	0.2963499664
587	0.2963201297
588	0.2962744373
589	0.2962344668
590	0.296201306
591	0.2961745047
592	0.2961369729
593	0.2960945547
594	0.2960573109
595	0.296025203
596	0.2959993141
597	0.2959614554
598	0.2959389752
599	0.2959150116
600	0.2958704429
601	0.2958397889
602	0.2957901147
603	0.2957509614
604	0.2957246811
605	0.2956856401
606	0.2956672716
607	0.2956282722
608	0.2955840608
609	0.295539009
610	0.2955113005
611	0.2954660691
612	0.2954291133
613	0.2954084558
614	0.2953650375
615	0.2953182171
616	0.2952853668
617	0.2952492103
618	0.2952189459
619	0.2951801449
620	0.2951342626
621	0.2950964761
622	0.295052291
623	0.2950197618
624	0.2949865114
625	0.2949522166
626	0.2949263882
627	0.294884717
628	0.2948448647
629	0.2948085989
630	0.2947784234
631	0.2947440414
632	0.2946977046
633	0.2946671564
634	0.2946360766
635	0.2945921483
636	0.2945537373
637	0.2945234133
638	0.2944902409
639	0.2944655129
640	0.29443756
641	0.2944159501
642	0.2943817098
643	0.2943474534
644	0.2943190234
645	0.2942844541
646	0.2942451997
647	0.2942011471
648	0.2941755859
649	0.2941409051
650	0.2941110575
651	0.2940798869
652	0.2940552371
653	0.2940291206
654	0.2939838889
655	0.2939500334
656	0.2939157849
657	0.2938798304
658	0.293839921
659	0.293799647
660	0.293772169
661	0.2937439021
662	0.2937019018
663	0.2936743881
664	0.2936352986
665	0.2935932692
666	0.2935708262
667	0.2935319182
668	0.2935071844
669	0.293468844
670	0.2934320993
671	0.2933996464
672	0.2933668878
673	0.2933303716
674	0.2932986613
675	0.2932656805
676	0.2932101446
677	0.2931804924
678	0.2931462619
679	0.293099081
680	0.2930423707
681	0.293006211
682	0.2929786651
683	0.2929522838
684	0.292908102
685	0.2928870449
686	0.2928438629
687	0.2928076803
688	0.2927623126
689	0.2927355047
690	0.2927083065
691	0.2926854206
692	0.2926572788
693	0.2926189123
694	0.29257986
695	0.292543665
696	0.2925020592
697	0.2924642082
698	0.2924154913
699	0.2923951217
700	0.2923637673
701	0.2923378687
702	0.2923092477
703	0.2922852272
704	0.2922659739
705	0.2922323756
706	0.2921979674
707	0.29215599
708	0.2921371495
709	0.2920915481
710	0.2920577666
711	0.2920308616
712	0.2920030127
713	0.2919749051
714	0.2919527035
715	0.2919094364
716	0.2918811848
717	0.2918641229
718	0.2918151048
719	0.2917903279
720	0.291757721
721	0.2917229197
722	0.291687518
723	0.2916412537
724	0.2916088632
725	0.291589125
726	0.291555683
727	0.2915148424
728	0.291470813
729	0.2914377575
730	0.2913945973
731	0.2913603569
732	0.291337308
733	0.2913097656
734	0.2912841518
735	0.2912452726
736	0.2912074944
737	0.2911791867
738	0.2911386488
739	0.2911014332
740	0.2910622265
741	0.2910308661
742	0.290998868
743	0.2909662499
744	0.2909377135
745	0.290898486
746	0.2908738333
747	0.2908435186
748	0.2908226911
749	0.2907754617
750	0.2907359822
751	0.2907035694
752	0.2906698775
753	0.2906392657
754	0.2906206427
755	0.2905831446
756	0.2905450967
757	0.2905045766
758	0.2904747476
759	0.2904387353
760	0.2904110528
761	0.2903908356
762	0.2903563921
763	0.2903219309
764	0.2902669978
765	0.2902348418
766	0.2902031289
767	0.2901666715
768	0.2901348954
769	0.2900976674
770	0.2900620019
771	0.2900265622
772	0.2899944639
773	0.2899697306
774	0.2899403321
775	0.2898994591
776	0.2898680103
777	0.2898399796
778	0.2898022816
779	0.2897782862
780	0.2897529621
781	0.2897195278
782	0.2896836541
783	0.2896665003
784	0.2896406694
785	0.2896099856
786	0.2895710634
787	0.2895374101
788	0.289498999
789	0.2894667972
790	0.2894366053
791	0.2894073797
792	0.2893792058
793	0.2893401261
794	0.2893174165
795	0.2892914314
796	0.2892612283
797	0.2892372405
798	0.2892121225
799	0.2891856448
800	0.289165558
801	0.2891444883
802	0.2891164625
803	0.2890893165
804	0.2890498513
805	0.2890082083
806	0.2889856378
807	0.2889631868
808	0.2889387734
809	0.2889136919
810	0.2888851311
811	0.2888559341
812	0.2888315388
813	0.2887990192
814	0.2887833309
815	0.2887654662
816	0.2887412503
817	0.2887126049
818	0.2886818953
819	0.288636545
820	0.288595306
821	0.2885629941
822	0.2885428507
823	0.2885054152
824	0.2884702069
825	0.2884396224
826	0.2884014625
827	0.2883609009
828	0.2883377236
829	0.288319695
830	0.2882879083
831	0.2882707971
832	0.2882437954
833	0.2882130418
834	0.2881914489
835	0.2881657681
836	0.2881362628
837	0.2880949302
838	0.2880591547
839	0.2880408765
840	0.2880228182
841	0.2880011893
842	0.2879736036
843	0.2879387745
844	0.2879075063
845	0.2878567491
846	0.2878315849
847	0.2878050102
848	0.2877658362
849	0.2877312341
850	0.2876997987
851	0.2876822366
852	0.2876525743
853	0.2876262512
854	0.2875920352
855	0.2875667964
856	0.2875199331
857	0.2874773773
858	0.2874359467
859	0.287406857
860	0.2873676167
861	0.2873410119
862	0.2873066203
863	0.287276114
864	0.2872463683
865	0.2872130488
866	0.2871694383
867	0.2871282328
868	0.2871091394
869	0.2870663105
870	0.2870364903
871	0.287005435
872	0.2869691034
873	0.2869344489
874	0.2869041179
875	0.286867314
876	0.2868489429
877	0.2868131634
878	0.2867849825
879	0.2867491462
880	0.2867348082
881	0.2867111628
882	0.2866914134
883	0.2866616189
884	0.2866301467
885	0.2865942867
886	0.2865582635
887	0.2865187794
888	0.2864884365
889	0.2864583507
890	0.2864262006
891	0.2863900888
892	0.2863665797
893	0.2863439944
894	0.2863163605
895	0.2862892142
896	0.2862634152
897	0.286228
898	0.2861955639
899	0.2861698286
900	0.2861363883
901	0.2861077375
902	0.2860746063
903	0.286041265
904	0.2860140178
905	0.2859975806
906	0.2859505774
907	0.2859248082
908	0.2859101644
909	0.2858818366
910	0.2858515915
911	0.2858207194
912	0.2857880357
913	0.2857551339
914	0.2857218433
915	0.2856875326
916	0.2856562072
917	0.2856285431
918	0.2855999232
919	0.2855659772
920	0.2855373665
921	0.2855163912
922	0.2854882798
923	0.2854535311
924	0.2854273275
925	0.2854028319
926	0.2853680338
927	0.2853367552
928	0.2852922544
929	0.2852566264
930	0.2852240123
931	0.2851802102
932	0.2851394803
933	0.2850981297
934	0.2850671199
935	0.2850343985
936	0.2849964265
937	0.2849577758
938	0.2849204574
939	0.2848983097
940	0.2848800625
941	0.2848567679
942	0.2848150418
943	0.2847866151
944	0.2847619681
945	0.2847305664
946	0.2847018967
947	0.2846748825
948	0.2846421579
949	0.2846199989
950	0.284591564
951	0.2845609813
952	0.2845210494
953	0.2845029994
954	0.2844714053
955	0.2844476715
956	0.2844268721
957	0.2843906023
958	0.284362411
959	0.2843370825
960	0.2843090797
961	0.2842747611
962	0.2842409742
963	0.2842157573
964	0.2841854792
965	0.2841558127
966	0.2841340684
967	0.2841089488
968	0.2840855145
969	0.2840657093
970	0.2840261405
971	0.2839898527
972	0.2839558499
973	0.2839241738
974	0.2838897158
975	0.2838568477
976	0.2838205891
977	0.283795578
978	0.283767171
979	0.2837289282
980	0.2836940829
981	0.2836494737
982	0.2836316378
983	0.2836028487
984	0.2835777395
985	0.2835459108
986	0.2835259868
987	0.2834997473
988	0.2834744924
989	0.2834419881
990	0.2834110467
991	0.2833811442
992	0.2833580788
993	0.2833171054
994	0.2832731766
995	0.2832490759
996	0.2832207972
997	0.2831886999
998	0.2831591284
999	0.2831282641
